Property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,School_id,Distance_to_school,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Recreation_centre_id,Distance_to_Recreation_centre
62748.0,-37.824902,145.24677,23 Stoda Street,HEATHMONT,9834000.0,house,2011.0,4.0,2.0,2.0,1608.0,1.572,19871,0.428,41.09090909090909,0.0,hospital_105,1.566,MAROON11037,2.159
93976.0,-38.06504,145.126171,51 Coast Banksia Drive,BONBEACH,5960000.0,house,2015.0,4.0,2.0,2.0,5101.0,12.688,19859,0.615,55.916666666666664,0.0,hospital_096,8.868,BAYSID12340,14.041
84909.0,-37.883647,144.988509,36 Wave Street,ELWOOD,30150000.0,house,2010.0,3.0,1.0,2.0,1134.0,4.049,19955,1.045,18.75,1.0,hospital_116,1.843,BAYSID12373,3.291
60968.0,-37.837175,145.200389,9 Hayward Court,VERMONT,12700000.0,house,2016.0,5.0,3.0,2.0,1681.0,0.799,19900,2.225,34.714285714285715,0.0,hospital_008,2.695,WHITEH11045,0.693
43854.0,-37.706183,145.077196,56 Ladd Street,WATSONIA,5172000.0,house,2013.0,3.0,1.0,2.0,4341.0,2.97,19984,0.787,38.57142857142857,0.0,hospital_037,1.821,BANYUL12834,2.143
1223.0,-37.80418015,144.8910828,58 Windsor Street,SEDDON,6000000.0,house,2007.0,2.0,1.0,0.0,478.0,1.17,20024,0.19,19.555555555555557,0.0,hospital_056,1.303,MARIBY8488,0.602
6897.0,-37.79602432,144.8257294,62 Ardoyne Street,SUNSHINE,3650000.0,house,2009.0,3.0,1.0,1.0,5450.0,2.238,22241,1.044,16.296296296296298,0.0,hospital_174,2.126,MARIBY5530,3.252
3484.0,-37.81489,144.870839,4 Sanderson Street,YARRAVILLE,8250000.0,house,2013.0,4.0,1.0,2.0,3988.0,0.549,19996,1.683,14.0,0.0,hospital_056,2.773,MARIBY8448,0.317
60165.0,-37.828908,145.194354,600 Mitcham Road,MITCHAM,6798000.0,house,2013.0,4.0,1.0,2.0,1022.0,0.402,19900,1.211,34.714285714285715,0.0,hospital_010,2.054,WHITEH11044,0.983
74525.0,-37.902121,145.055637,119 Leila Road,CARNEGIE,10140000.0,house,2013.0,4.0,2.0,1.0,8801.0,2.922,19941,1.413,29.75,0.0,hospital_159,2.442,GLENEI11212,1.944
